Labor Force Statistics from the Current Population Survey,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027660,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - High School Graduates, No College, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,"High School graduates, no college",,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,3.7,3.7,3.7,3.4,3.6,3.9,3.6,3.6,3.6,3.7,3.7,3.7
2020,3.8,3.6,4.4,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027660,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - High School Graduates, No College, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,"High School graduates, no college",,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,3.7,3.7,3.7,3.4,3.6,3.9,3.6,3.6,3.6,3.7,3.7,3.7
2020,3.8,3.6,4.4,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027662,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - Bachelor's degree and higher, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,Bachelor's degree and higher,,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,2.4,2.2,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.1,2.0,1.9
2020,2.0,1.9,2.5,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027662,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - Bachelor's degree and higher, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,Bachelor's degree and higher,,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,2.4,2.2,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.1,2.0,1.9
2020,2.0,1.9,2.5,,,,,,,,,
