Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027662,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - Bachelor's degree and higher, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,Bachelor's degree and higher,,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,2.4,2.2,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.1,2.0,1.9
2020,2.0,1.9,2.5,,,,,,,,,
