Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027660,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - High School Graduates, No College, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,"High School graduates, no college",,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,3.7,3.7,3.7,3.4,3.6,3.9,3.6,3.6,3.6,3.7,3.7,3.7
2020,3.8,3.6,4.4,,,,,,,,,
